"Data","Produto","Quantidade","Custo","Valor","Cliente","Endereco","Pagamento","Modalidade","Total","Liquido"
2021-01-17,"Produto 8",1,8,30,"Cliente 5","Rua Major Jener Tenório de Holanda - Vila Torres Galvao, Paulista - PE
, Brazil","Debito","Local",30,22
2021-01-18,"Produto 7",2,14,30,"Cliente 5","Nossa Senhora do Ó, Paulista - PE
, Brazil","Credito","Local",60,32
2021-01-19,"Produto 9",1,14,32,"Cliente 1","Rua Aureliano Artur Soares Quintas, 51 - Janga, Paulista - PE
, Brazil","Debito","Retirada",32,18
2021-01-20,"Produto 8",3,9,7,"Cliente 6","Janga, Paulista - PE
, Brazil","Credito","Retirada",21,-6
2021-01-21,"Produto 7",3,15,37,"Cliente 1","Rua Amazonita - Nossa Senhora da Conceição, Paulista - PE
, Brazil","Debito","Local",111,66
2021-01-22,"Produto 5",1,9,1,"Cliente 10","Nossa Senhora do Ó, Paulista - PE
, Brazil","Debito","Local",1,-8
2021-01-23,"Produto 8",2,23,39,"Cliente 5","Rua Amazonita - Nossa Senhora da Conceição, Paulista - PE
, Brazil","Dinheiro","Local",78,32
2021-01-24,"Produto 8",5,5,32,"Cliente 10","Pau Amarelo, Paulista - PE
, Brazil","Debito","Retirada",160,135
2021-01-25,"Produto 3",2,23,1,"Cliente 8","Janga, Paulista - PE
, Brazil","Dinheiro","Local",2,-44
2021-01-26,"Produto 6",5,14,14,"Cliente 5","Janga, Paulista - PE
, Brazil","Credito","Retirada",70,0
2021-01-27,"Produto 10",1,28,30,"Cliente 7","Rua Alagoinha, 870 - Janga, Paulista - PE
, Brazil","Debito","Local",30,2
2021-01-28,"Produto 10",1,14,14,"Cliente 9","Nossa Senhora do Ó, Paulista - PE
, Brazil","Debito","Retirada",14,0
2021-01-29,"Produto 1",1,15,1,"Cliente 6","Rua Amazonita - Nossa Senhora da Conceição, Paulista - PE
, Brazil","Debito","Retirada",1,-14
2021-01-30,"Produto 8",5,25,1,"Cliente 10","Rua Amazonita - Nossa Senhora da Conceição, Paulista - PE
, Brazil","Credito","Retirada",5,-120
2021-01-31,"Produto 6",3,5,29,"Cliente 4","Rua Alagoinha, 870 - Janga, Paulista - PE
, Brazil","Debito","Delivery",87,72
2021-02-01,"Produto 8",3,5,29,"Cliente 7","Janga, Paulista - PE
, Brazil","Debito","Local",87,72
2021-02-02,"Produto 5",2,14,11,"Cliente 1","Rua Major Jener Tenório de Holanda - Vila Torres Galvao, Paulista - PE
, Brazil","Debito","Local",22,-6
2021-02-03,"Produto 6",1,15,37,"Cliente 9","Rua Solmar, 1591 - Janga, Paulista - PE
, Brazil","Dinheiro","Delivery",37,22
2021-02-04,"Produto 10",4,7,29,"Cliente 5","Rua Aureliano Artur Soares Quintas, 51 - Janga, Paulista - PE
, Brazil","Dinheiro","Delivery",116,88
2021-02-05,"Produto 8",2,8,11,"Cliente 5","Rua Solmar, 1591 - Janga, Paulista - PE
, Brazil","Credito","Delivery",22,6
2021-02-06,"Produto 8",4,7,37,"Cliente 3","Rua Major Jener Tenório de Holanda - Vila Torres Galvao, Paulista - PE
, Brazil","Credito","Delivery",148,120
2021-02-07,"Produto 4",1,9,14,"Cliente 1","Rua Aureliano Artur Soares Quintas, 51 - Janga, Paulista - PE
, Brazil","Credito","Local",14,5
2021-02-08,"Produto 2",5,7,1,"Cliente 5","Rua Solmar, 1591 - Janga, Paulista - PE
, Brazil","Credito","Local",5,-30
2021-02-09,"Produto 5",2,8,30,"Cliente 7","Pau Amarelo, Paulista - PE
, Brazil","Dinheiro","Local",60,44
2021-02-10,"Produto 5",1,7,36,"Cliente 5","Avenida Antônio Cabral de Souza, 1175 - Vila Torres Galvao, Paulista - PE
, Brazil","Dinheiro","Retirada",36,29
2021-02-11,"Produto 10",1,8,14,"Cliente 5","Avenida Antônio Cabral de Souza, 1175 - Vila Torres Galvao, Paulista - PE
, Brazil","Dinheiro","Retirada",14,6
2021-02-12,"Produto 5",1,28,7,"Cliente 6","Rua Alagoinha, 870 - Janga, Paulista - PE
, Brazil","Dinheiro","Local",7,-21
2021-02-13,"Produto 2",1,25,11,"Cliente 2","Pau Amarelo, Paulista - PE
, Brazil","Credito","Retirada",11,-14
2021-02-14,"Produto 7",1,8,30,"Cliente 10","Avenida Antônio Cabral de Souza, 1175 - Vila Torres Galvao, Paulista - PE
, Brazil","Debito","Retirada",30,22
2021-02-15,"Produto 3",3,9,29,"Cliente 5","Avenida Antônio Cabral de Souza, 1175 - Vila Torres Galvao, Paulista - PE
, Brazil","Dinheiro","Retirada",87,60
2021-02-16,"Produto 10",1,15,37,"Cliente 6","Nossa Senhora da Conceição, Paulista - PE
, Brazil","Debito","Retirada",37,22
2021-02-17,"Produto 5",1,8,37,"Cliente 9","Avenida Antônio Cabral de Souza, 1175 - Vila Torres Galvao, Paulista - PE
, Brazil","Debito","Local",37,29
2021-02-18,"Produto 6",1,23,11,"Cliente 2","Avenida Antônio Cabral de Souza, 1175 - Vila Torres Galvao, Paulista - PE
, Brazil","Credito","Retirada",11,-12
2021-02-19,"Produto 5",2,9,14,"Cliente 3","Nossa Senhora do Ó, Paulista - PE
, Brazil","Debito","Local",28,10
2021-02-20,"Produto 7",5,8,32,"Cliente 7","Rua Aureliano Artur Soares Quintas, 51 - Janga, Paulista - PE
, Brazil","Dinheiro","Local",160,120
2021-02-21,"Produto 4",1,25,39,"Cliente 6","Pau Amarelo, Paulista - PE
, Brazil","Credito","Delivery",39,14
2021-02-22,"Produto 5",1,15,36,"Cliente 10","Nossa Senhora da Conceição, Paulista - PE
, Brazil","Credito","Delivery",36,21
2021-02-23,"Produto 7",4,14,11,"Cliente 3","Nossa Senhora da Conceição, Paulista - PE
, Brazil","Dinheiro","Delivery",44,-12
2021-02-24,"Produto 4",2,23,39,"Cliente 1","Rua Amazonita - Nossa Senhora da Conceição, Paulista - PE
, Brazil","Dinheiro","Delivery",78,32
2021-02-25,"Produto 10",5,9,30,"Cliente 7","Nossa Senhora da Conceição, Paulista - PE
, Brazil","Credito","Local",150,105
2021-02-26,"Produto 8",5,8,32,"Cliente 10","Janga, Paulista - PE
, Brazil","Credito","Retirada",160,120
2021-02-27,"Produto 10",2,8,36,"Cliente 1","Rua Alagoinha, 870 - Janga, Paulista - PE
, Brazil","Dinheiro","Local",72,56
2021-02-28,"Produto 8",5,28,29,"Cliente 2","Rua Amazonita - Nossa Senhora da Conceição, Paulista - PE
, Brazil","Dinheiro","Local",145,5
2021-03-01,"Produto 7",3,5,1,"Cliente 7","Rua Aureliano Artur Soares Quintas, 51 - Janga, Paulista - PE
, Brazil","Credito","Delivery",3,-12
2021-03-02,"Produto 2",3,15,7,"Cliente 7","Nossa Senhora do Ó, Paulista - PE
, Brazil","Dinheiro","Retirada",21,-24
2021-03-03,"Produto 2",2,7,14,"Cliente 4","Nossa Senhora do Ó, Paulista - PE
, Brazil","Debito","Local",28,14
2021-03-04,"Produto 3",3,14,30,"Cliente 4","Rua Alagoinha, 870 - Janga, Paulista - PE
, Brazil","Dinheiro","Retirada",90,48
2021-03-05,"Produto 4",1,7,14,"Cliente 4","Nossa Senhora da Conceição, Paulista - PE
, Brazil","Debito","Retirada",14,7
2021-03-06,"Produto 9",3,5,11,"Cliente 10","Rua Amazonita - Nossa Senhora da Conceição, Paulista - PE
, Brazil","Dinheiro","Local",33,18
2021-03-07,"Produto 3",4,7,1,"Cliente 6","Rua Aureliano Artur Soares Quintas, 51 - Janga, Paulista - PE
, Brazil","Credito","Local",4,-24
2021-03-08,"Produto 6",2,5,1,"Cliente 8","Pau Amarelo, Paulista - PE
, Brazil","Dinheiro","Delivery",2,-8
2021-03-09,"Produto 5",3,15,7,"Cliente 8","Pau Amarelo, Paulista - PE
, Brazil","Debito","Retirada",21,-24
2021-03-10,"Produto 1",1,9,37,"Cliente 8","Rua Major Jener Tenório de Holanda - Vila Torres Galvao, Paulista - PE
, Brazil","Debito","Local",37,28
2021-03-11,"Produto 5",3,25,37,"Cliente 9","Nossa Senhora da Conceição, Paulista - PE
, Brazil","Debito","Retirada",111,36
2021-03-12,"Produto 3",1,22,39,"Cliente 10","Rua Alagoinha, 870 - Janga, Paulista - PE
, Brazil","Credito","Retirada",39,17
2021-03-13,"Produto 2",1,15,29,"Cliente 5","Rua Amazonita - Nossa Senhora da Conceição, Paulista - PE
, Brazil","Debito","Retirada",29,14
2021-03-14,"Produto 10",5,8,1,"Cliente 5","Nossa Senhora do Ó, Paulista - PE
, Brazil","Debito","Delivery",5,-35
2021-03-15,"Produto 6",3,28,29,"Cliente 8","Janga, Paulista - PE
, Brazil","Debito","Retirada",87,3
2021-03-16,"Produto 6",4,25,32,"Cliente 7","Rua Aureliano Artur Soares Quintas, 51 - Janga, Paulista - PE
, Brazil","Dinheiro","Retirada",128,28
2021-03-17,"Produto 4",3,25,37,"Cliente 10","Avenida Antônio Cabral de Souza, 1175 - Vila Torres Galvao, Paulista - PE
, Brazil","Credito","Delivery",111,36
2021-03-18,"Produto 3",2,5,7,"Cliente 10","Nossa Senhora da Conceição, Paulista - PE
, Brazil","Dinheiro","Retirada",14,4
2021-03-19,"Produto 1",3,5,36,"Cliente 3","Nossa Senhora do Ó, Paulista - PE
, Brazil","Debito","Local",108,93
2021-03-20,"Produto 4",2,9,36,"Cliente 8","Pau Amarelo, Paulista - PE
, Brazil","Dinheiro","Retirada",72,54
2021-03-21,"Produto 7",4,9,36,"Cliente 8","Rua Aureliano Artur Soares Quintas, 51 - Janga, Paulista - PE
, Brazil","Dinheiro","Delivery",144,108
2021-03-22,"Produto 5",2,25,7,"Cliente 7","Avenida Antônio Cabral de Souza, 1175 - Vila Torres Galvao, Paulista - PE
, Brazil","Dinheiro","Delivery",14,-36
2021-03-23,"Produto 9",3,23,11,"Cliente 8","Avenida Antônio Cabral de Souza, 1175 - Vila Torres Galvao, Paulista - PE
, Brazil","Debito","Local",33,-36
2021-03-24,"Produto 6",3,9,32,"Cliente 9","Nossa Senhora do Ó, Paulista - PE
, Brazil","Dinheiro","Delivery",96,69
2021-03-25,"Produto 5",1,22,36,"Cliente 5","Pau Amarelo, Paulista - PE
, Brazil","Dinheiro","Delivery",36,14
2021-03-26,"Produto 5",4,28,1,"Cliente 2","Nossa Senhora do Ó, Paulista - PE
, Brazil","Debito","Delivery",4,-108
2021-03-27,"Produto 1",3,25,11,"Cliente 10","Avenida Antônio Cabral de Souza, 1175 - Vila Torres Galvao, Paulista - PE
, Brazil","Debito","Retirada",33,-42
2021-03-28,"Produto 5",3,8,7,"Cliente 6","Rua Alagoinha, 870 - Janga, Paulista - PE
, Brazil","Dinheiro","Local",21,-3
2021-03-29,"Produto 10",3,5,36,"Cliente 1","Rua Solmar, 1591 - Janga, Paulista - PE
, Brazil","Dinheiro","Delivery",108,93
2021-03-30,"Produto 9",2,8,30,"Cliente 3","Rua Amazonita - Nossa Senhora da Conceição, Paulista - PE
, Brazil","Credito","Delivery",60,44
2021-03-31,"Produto 6",5,23,29,"Cliente 8","Rua Aureliano Artur Soares Quintas, 51 - Janga, Paulista - PE
, Brazil","Debito","Delivery",145,30
2021-04-01,"Produto 9",1,15,14,"Cliente 1","Rua Solmar, 1591 - Janga, Paulista - PE
, Brazil","Dinheiro","Local",14,-1
2021-04-02,"Produto 10",1,25,29,"Cliente 8","Rua Solmar, 1591 - Janga, Paulista - PE
, Brazil","Debito","Retirada",29,4
2021-04-03,"Produto 10",1,5,29,"Cliente 1","Rua Alagoinha, 870 - Janga, Paulista - PE
, Brazil","Debito","Local",29,24
2021-04-04,"Produto 6",4,7,14,"Cliente 1","Rua Major Jener Tenório de Holanda - Vila Torres Galvao, Paulista - PE
, Brazil","Debito","Delivery",56,28
2021-04-05,"Produto 2",3,15,11,"Cliente 8","Pau Amarelo, Paulista - PE
, Brazil","Debito","Local",33,-12
2021-04-06,"Produto 2",2,28,1,"Cliente 8","Rua Major Jener Tenório de Holanda - Vila Torres Galvao, Paulista - PE
, Brazil","Credito","Retirada",2,-54
2021-04-07,"Produto 2",1,25,30,"Cliente 4","Rua Aureliano Artur Soares Quintas, 51 - Janga, Paulista - PE
, Brazil","Debito","Local",30,5
2021-04-08,"Produto 10",2,23,32,"Cliente 2","Pau Amarelo, Paulista - PE
, Brazil","Debito","Retirada",64,18
2021-04-09,"Produto 9",5,28,39,"Cliente 8","Pau Amarelo, Paulista - PE
, Brazil","Credito","Local",195,55
2021-04-10,"Produto 9",5,22,32,"Cliente 7","Rua Major Jener Tenório de Holanda - Vila Torres Galvao, Paulista - PE
, Brazil","Debito","Delivery",160,50
2021-04-11,"Produto 6",3,8,30,"Cliente 3","Rua Aureliano Artur Soares Quintas, 51 - Janga, Paulista - PE
, Brazil","Credito","Retirada",90,66
2021-04-12,"Produto 5",3,22,7,"Cliente 9","Nossa Senhora da Conceição, Paulista - PE
, Brazil","Dinheiro","Retirada",21,-45
2021-04-13,"Produto 3",1,8,29,"Cliente 7","Rua Aureliano Artur Soares Quintas, 51 - Janga, Paulista - PE
, Brazil","Debito","Delivery",29,21
2021-04-14,"Produto 7",1,7,37,"Cliente 8","Rua Solmar, 1591 - Janga, Paulista - PE
, Brazil","Debito","Retirada",37,30
2021-04-15,"Produto 8",1,15,36,"Cliente 2","Pau Amarelo, Paulista - PE
, Brazil","Debito","Retirada",36,21
2021-04-16,"Produto 3",4,25,36,"Cliente 8","Nossa Senhora da Conceição, Paulista - PE
, Brazil","Credito","Retirada",144,44
2021-04-17,"Produto 7",1,15,1,"Cliente 10","Avenida Antônio Cabral de Souza, 1175 - Vila Torres Galvao, Paulista - PE
, Brazil","Credito","Retirada",1,-14
2021-04-18,"Produto 4",2,5,37,"Cliente 6","Rua Aureliano Artur Soares Quintas, 51 - Janga, Paulista - PE
, Brazil","Debito","Delivery",74,64
2021-04-19,"Produto 4",3,14,37,"Cliente 6","Rua Solmar, 1591 - Janga, Paulista - PE
, Brazil","Debito","Local",111,69
2021-04-20,"Produto 2",5,7,30,"Cliente 7","Nossa Senhora da Conceição, Paulista - PE
, Brazil","Dinheiro","Retirada",150,115
2021-04-21,"Produto 8",3,25,37,"Cliente 7","Rua Amazonita - Nossa Senhora da Conceição, Paulista - PE
, Brazil","Debito","Delivery",111,36
2021-04-22,"Produto 4",5,22,1,"Cliente 4","Pau Amarelo, Paulista - PE
, Brazil","Debito","Retirada",5,-105
2021-04-23,"Produto 6",3,22,36,"Cliente 1","Rua Solmar, 1591 - Janga, Paulista - PE
, Brazil","Debito","Local",108,42
2021-04-24,"Produto 6",3,5,30,"Cliente 9","Pau Amarelo, Paulista - PE
, Brazil","Credito","Delivery",90,75
2021-04-25,"Produto 2",1,28,36,"Cliente 7","Rua Solmar, 1591 - Janga, Paulista - PE
, Brazil","Dinheiro","Local",36,8
2021-04-26,"Produto 2",1,23,7,"Cliente 7","Nossa Senhora da Conceição, Paulista - PE
, Brazil","Dinheiro","Delivery",7,-16
2021-04-27,"Produto 5",1,25,11,"Cliente 6","Rua Amazonita - Nossa Senhora da Conceição, Paulista - PE
, Brazil","Debito","Delivery",11,-14
2021-04-28,"Produto 4",2,8,37,"Cliente 7","Pau Amarelo, Paulista - PE
, Brazil","Debito","Retirada",74,58
2021-04-29,"Produto 6",3,8,30,"Cliente 10","Rua Major Jener Tenório de Holanda - Vila Torres Galvao, Paulista - PE
, Brazil","Dinheiro","Delivery",90,66
2021-04-30,"Produto 1",1,5,37,"Cliente 9","Janga, Paulista - PE
, Brazil","Dinheiro","Local",37,32
2021-05-01,"Produto 7",2,28,36,"Cliente 10","Rua Aureliano Artur Soares Quintas, 51 - Janga, Paulista - PE
, Brazil","Credito","Delivery",72,16
2021-05-02,"Produto 10",5,7,1,"Cliente 10","Rua Alagoinha, 870 - Janga, Paulista - PE
, Brazil","Credito","Retirada",5,-30
2021-05-03,"Produto 8",1,22,30,"Cliente 1","Janga, Paulista - PE
, Brazil","Debito","Retirada",30,8
2021-05-04,"Produto 4",1,7,7,"Cliente 1","Rua Solmar, 1591 - Janga, Paulista - PE
, Brazil","Credito","Retirada",7,0
2021-05-05,"Produto 6",1,7,32,"Cliente 10","Rua Major Jener Tenório de Holanda - Vila Torres Galvao, Paulista - PE
, Brazil","Debito","Delivery",32,25
2021-05-06,"Produto 6",3,8,1,"Cliente 4","Rua Amazonita - Nossa Senhora da Conceição, Paulista - PE
, Brazil","Debito","Retirada",3,-21
2021-05-07,"Produto 3",1,25,7,"Cliente 1","Rua Amazonita - Nossa Senhora da Conceição, Paulista - PE
, Brazil","Credito","Delivery",7,-18
2021-05-08,"Produto 1",1,5,37,"Cliente 4","Rua Solmar, 1591 - Janga, Paulista - PE
, Brazil","Dinheiro","Local",37,32
2021-05-09,"Produto 3",1,22,7,"Cliente 3","Nossa Senhora do Ó, Paulista - PE
, Brazil","Credito","Local",7,-15
2021-05-10,"Produto 5",2,5,29,"Cliente 3","Rua Amazonita - Nossa Senhora da Conceição, Paulista - PE
, Brazil","Credito","Delivery",58,48
2021-05-11,"Produto 10",1,28,11,"Cliente 1","Avenida Antônio Cabral de Souza, 1175 - Vila Torres Galvao, Paulista - PE
, Brazil","Dinheiro","Delivery",11,-17
2021-05-12,"Produto 10",2,8,36,"Cliente 1","Rua Solmar, 1591 - Janga, Paulista - PE
, Brazil","Credito","Retirada",72,56
2021-05-13,"Produto 1",3,28,29,"Cliente 10","Rua Alagoinha, 870 - Janga, Paulista - PE
, Brazil","Credito","Local",87,3
2021-05-14,"Produto 1",5,25,37,"Cliente 8","Janga, Paulista - PE
, Brazil","Dinheiro","Local",185,60
2021-05-15,"Produto 6",1,8,1,"Cliente 5","Rua Alagoinha, 870 - Janga, Paulista - PE
, Brazil","Credito","Delivery",1,-7
2021-05-16,"Produto 7",2,8,32,"Cliente 1","Rua Alagoinha, 870 - Janga, Paulista - PE
, Brazil","Debito","Retirada",64,48
2021-05-17,"Produto 7",3,5,37,"Cliente 10","Nossa Senhora da Conceição, Paulista - PE
, Brazil","Debito","Local",111,96
2021-05-18,"Produto 9",4,8,14,"Cliente 2","Rua Alagoinha, 870 - Janga, Paulista - PE
, Brazil","Debito","Retirada",56,24
2021-05-19,"Produto 10",4,7,11,"Cliente 4","Rua Solmar, 1591 - Janga, Paulista - PE
, Brazil","Debito","Retirada",44,16
2021-05-20,"Produto 4",2,23,30,"Cliente 2","Pau Amarelo, Paulista - PE
, Brazil","Debito","Local",60,14
2021-05-21,"Produto 7",1,15,11,"Cliente 8","Rua Alagoinha, 870 - Janga, Paulista - PE
, Brazil","Debito","Local",11,-4
2021-05-22,"Produto 8",1,8,39,"Cliente 8","Avenida Antônio Cabral de Souza, 1175 - Vila Torres Galvao, Paulista - PE
, Brazil","Credito","Retirada",39,31
2021-05-23,"Produto 7",1,28,36,"Cliente 4","Nossa Senhora do Ó, Paulista - PE
, Brazil","Dinheiro","Retirada",36,8
2021-05-24,"Produto 1",1,8,11,"Cliente 8","Rua Aureliano Artur Soares Quintas, 51 - Janga, Paulista - PE
, Brazil","Debito","Local",11,3
2021-05-25,"Produto 9",1,22,37,"Cliente 5","Rua Aureliano Artur Soares Quintas, 51 - Janga, Paulista - PE
, Brazil","Debito","Delivery",37,15
2021-05-26,"Produto 5",5,7,1,"Cliente 9","Rua Aureliano Artur Soares Quintas, 51 - Janga, Paulista - PE
, Brazil","Credito","Delivery",5,-30
2021-05-27,"Produto 2",1,5,29,"Cliente 10","Rua Major Jener Tenório de Holanda - Vila Torres Galvao, Paulista - PE
, Brazil","Debito","Delivery",29,24
2021-05-28,"Produto 6",3,9,14,"Cliente 3","Avenida Antônio Cabral de Souza, 1175 - Vila Torres Galvao, Paulista - PE
, Brazil","Dinheiro","Delivery",42,15
2021-05-29,"Produto 1",1,8,1,"Cliente 6","Rua Major Jener Tenório de Holanda - Vila Torres Galvao, Paulista - PE
, Brazil","Debito","Delivery",1,-7
2021-05-30,"Produto 3",2,15,30,"Cliente 6","Avenida Antônio Cabral de Souza, 1175 - Vila Torres Galvao, Paulista - PE
, Brazil","Dinheiro","Local",60,30
2021-05-31,"Produto 10",5,9,36,"Cliente 6","Nossa Senhora do Ó, Paulista - PE
, Brazil","Credito","Delivery",180,135
2021-06-01,"Produto 4",1,9,37,"Cliente 6","Rua Alagoinha, 870 - Janga, Paulista - PE
, Brazil","Debito","Retirada",37,28
2021-06-02,"Produto 4",3,15,32,"Cliente 8","Rua Solmar, 1591 - Janga, Paulista - PE
, Brazil","Credito","Delivery",96,51
2021-06-03,"Produto 5",1,8,14,"Cliente 9","Rua Major Jener Tenório de Holanda - Vila Torres Galvao, Paulista - PE
, Brazil","Debito","Retirada",14,6
2021-06-04,"Produto 6",3,9,30,"Cliente 4","Rua Alagoinha, 870 - Janga, Paulista - PE
, Brazil","Credito","Delivery",90,63
2021-06-05,"Produto 9",5,22,39,"Cliente 6","Rua Amazonita - Nossa Senhora da Conceição, Paulista - PE
, Brazil","Dinheiro","Retirada",195,85
2021-06-06,"Produto 4",1,8,39,"Cliente 2","Avenida Antônio Cabral de Souza, 1175 - Vila Torres Galvao, Paulista - PE
, Brazil","Credito","Retirada",39,31
2021-06-07,"Produto 9",1,5,39,"Cliente 3","Pau Amarelo, Paulista - PE
, Brazil","Credito","Retirada",39,34
2021-06-08,"Produto 3",3,5,30,"Cliente 5","Rua Solmar, 1591 - Janga, Paulista - PE
, Brazil","Dinheiro","Retirada",90,75
2021-06-09,"Produto 5",1,23,29,"Cliente 6","Rua Alagoinha, 870 - Janga, Paulista - PE
, Brazil","Dinheiro","Delivery",29,6
2021-06-10,"Produto 8",2,9,37,"Cliente 7","Nossa Senhora da Conceição, Paulista - PE
, Brazil","Credito","Local",74,56
2021-06-11,"Produto 5",3,7,11,"Cliente 8","Rua Alagoinha, 870 - Janga, Paulista - PE
, Brazil","Dinheiro","Retirada",33,12
2021-06-12,"Produto 3",2,7,30,"Cliente 1","Rua Aureliano Artur Soares Quintas, 51 - Janga, Paulista - PE
, Brazil","Dinheiro","Delivery",60,46
2021-06-13,"Produto 10",1,8,29,"Cliente 3","Nossa Senhora da Conceição, Paulista - PE
, Brazil","Debito","Delivery",29,21
2021-06-14,"Produto 2",1,22,37,"Cliente 2","Rua Amazonita - Nossa Senhora da Conceição, Paulista - PE
, Brazil","Credito","Local",37,15
2021-06-15,"Produto 6",3,15,36,"Cliente 2","Janga, Paulista - PE
, Brazil","Dinheiro","Delivery",108,63
2021-06-16,"Produto 9",2,25,7,"Cliente 8","Rua Solmar, 1591 - Janga, Paulista - PE
, Brazil","Dinheiro","Retirada",14,-36
2021-06-17,"Produto 3",2,5,14,"Cliente 5","Rua Solmar, 1591 - Janga, Paulista - PE
, Brazil","Debito","Retirada",28,18
2021-06-18,"Produto 6",5,5,39,"Cliente 1","Rua Solmar, 1591 - Janga, Paulista - PE
, Brazil","Dinheiro","Retirada",195,170
2021-06-19,"Produto 8",3,8,7,"Cliente 2","Pau Amarelo, Paulista - PE
, Brazil","Debito","Delivery",21,-3
2021-06-20,"Produto 2",3,28,14,"Cliente 4","Avenida Antônio Cabral de Souza, 1175 - Vila Torres Galvao, Paulista - PE
, Brazil","Credito","Local",42,-42
2021-06-21,"Produto 5",3,7,14,"Cliente 6","Pau Amarelo, Paulista - PE
, Brazil","Credito","Retirada",42,21
2021-06-22,"Produto 7",4,23,30,"Cliente 4","Rua Alagoinha, 870 - Janga, Paulista - PE
, Brazil","Credito","Retirada",120,28
2021-06-23,"Produto 2",4,7,1,"Cliente 8","Nossa Senhora do Ó, Paulista - PE
, Brazil","Credito","Local",4,-24
2021-06-24,"Produto 4",2,9,11,"Cliente 8","Rua Aureliano Artur Soares Quintas, 51 - Janga, Paulista - PE
, Brazil","Dinheiro","Local",22,4
2021-06-25,"Produto 5",1,9,14,"Cliente 2","Janga, Paulista - PE
, Brazil","Credito","Retirada",14,5
2021-06-26,"Produto 7",1,23,29,"Cliente 9","Rua Alagoinha, 870 - Janga, Paulista - PE
, Brazil","Dinheiro","Local",29,6
2021-06-27,"Produto 10",3,28,11,"Cliente 6","Avenida Antônio Cabral de Souza, 1175 - Vila Torres Galvao, Paulista - PE
, Brazil","Dinheiro","Local",33,-51
2021-06-28,"Produto 10",1,7,1,"Cliente 7","Nossa Senhora da Conceição, Paulista - PE
, Brazil","Credito","Delivery",1,-6
2021-06-29,"Produto 2",1,7,14,"Cliente 2","Rua Amazonita - Nossa Senhora da Conceição, Paulista - PE
, Brazil","Credito","Delivery",14,7
2021-06-30,"Produto 6",1,14,14,"Cliente 1","Avenida Antônio Cabral de Souza, 1175 - Vila Torres Galvao, Paulista - PE
, Brazil","Dinheiro","Local",14,0
2021-07-01,"Produto 7",1,22,1,"Cliente 6","Nossa Senhora do Ó, Paulista - PE
, Brazil","Debito","Retirada",1,-21
2021-07-02,"Produto 4",1,23,32,"Cliente 5","Rua Aureliano Artur Soares Quintas, 51 - Janga, Paulista - PE
, Brazil","Credito","Delivery",32,9
2021-07-03,"Produto 2",5,22,11,"Cliente 5","Janga, Paulista - PE
, Brazil","Dinheiro","Delivery",55,-55
2021-07-04,"Produto 9",1,8,30,"Cliente 6","Rua Solmar, 1591 - Janga, Paulista - PE
, Brazil","Debito","Local",30,22
2021-07-05,"Produto 4",3,5,37,"Cliente 5","Avenida Antônio Cabral de Souza, 1175 - Vila Torres Galvao, Paulista - PE
, Brazil","Debito","Local",111,96
